"";"genotype";"semis";"sampling";"sampling_days";"id";"digestibilite"
"254";"G18-M52";"date 1";"6B";35;"11";53,6953117648589
"255";"G18-M52";"date 1";"5A";28;"11";54,0835233527812
"256";"G18-M52";"date 1";"8B";56;"11";47,4213120543442
"257";"G18-M52";"date 1";"3";14;"11";53,7818196943808
"258";"G18-M52";"date 1";"6A";35;"11";55,1528252835826
"259";"G18-M52";"date 1";"8A";56;"11";47,1893702216252
"260";"G18-M52";"date 1";"2";4;"11";58,4644982659652
"261";"G18-M52";"date 1";"1";0;"11";54,4099138503609
"262";"G18-M52";"date 1";"4";21;"11";53,0902629672023
"263";"G18-M52";"date 1";"5B";28;"11";51,2659727390016
"264";"G18-M52";"date 1";"7A";45;"11";49,0299355826087
"265";"G18-M52";"date 2";"7B";45;"25";50,0033664045755
"266";"G18-M52";"date 2";"6B";35;"25";50,9967483005232
"267";"G18-M52";"date 2";"5A";28;"25";52,3783422971197
"268";"G18-M52";"date 2";"8B";56;"25";47,8509108033129
"269";"G18-M52";"date 2";"3";14;"25";57,4249602974225
"270";"G18-M52";"date 2";"6A";35;"25";51,5767666297168
"271";"G18-M52";"date 2";"8A";56;"25";49,0230074895659
"272";"G18-M52";"date 2";"2";4;"25";62,1522312119759
"273";"G18-M52";"date 2";"1";0;"25";60,0236812799252
"274";"G18-M52";"date 2";"4";21;"25";55,2297909139496
"275";"G18-M52";"date 2";"5B";28;"25";50,7368818035501
"276";"G18-M52";"date 2";"7A";45;"25";49,5416149578413
"277";"G18-M52";"date 3";"7B";45;"39";51,7345969814709
"278";"G18-M52";"date 3";"6B";35;"39";55,2620801164857
"279";"G18-M52";"date 3";"5A";28;"39";55,2503072108573
"280";"G18-M52";"date 3";"8B";56;"39";47,7957839280504
"281";"G18-M52";"date 3";"3";14;"39";58,7773434259054
"282";"G18-M52";"date 3";"6A";35;"39";55,6756934861729
"283";"G18-M52";"date 3";"8A";56;"39";46,4860448599219
"284";"G18-M52";"date 3";"2";4;"39";62,5937241861317
"285";"G18-M52";"date 3";"1";0;"39";67,1820970520488
"286";"G18-M52";"date 3";"4";21;"39";52,6197951607039
"287";"G18-M52";"date 3";"5B";28;"39";53,7104169840016
"288";"G18-M52";"date 3";"7A";45;"39";51,9182408693911
"289";"LO3";"date 1";"7B";45;"12";52,3014857588795
"290";"LO3";"date 1";"6B";35;"12";56,2105202908079
"291";"LO3";"date 1";"5A";28;"12";54,8123629034568
"292";"LO3";"date 1";"8B";56;"12";47,3385596105381
"293";"LO3";"date 1";"3";14;"12";51,4602860155354
"294";"LO3";"date 1";"6A";35;"12";54,3168893982994
"295";"LO3";"date 1";"8A";56;"12";47,0446064259337
"296";"LO3";"date 1";"2";4;"12";59,4180105120429
"297";"LO3";"date 1";"1";0;"12";58,7413790886701
"298";"LO3";"date 1";"4";21;"12";52,3770541889383
"299";"LO3";"date 1";"5B";28;"12";54,656341792617
"300";"LO3";"date 1";"7A";45;"12";50,8865995096857
"301";"LO3";"date 2";"7B";45;"26";57,1178886510849
"302";"LO3";"date 2";"6B";35;"26";58,8512063465975
"303";"LO3";"date 2";"5A";28;"26";57,8038420379074
"304";"LO3";"date 2";"8B";56;"26";55,2030105238832
"305";"LO3";"date 2";"3";14;"26";56,7654316913341
"306";"LO3";"date 2";"6A";35;"26";58,8383930073778
"307";"LO3";"date 2";"8A";56;"26";52,389826983183
"308";"LO3";"date 2";"2";4;"26";61,9787592199892
"309";"LO3";"date 2";"1";0;"26";60,5943717296353
"310";"LO3";"date 2";"4";21;"26";55,6859300141084
"311";"LO3";"date 2";"5B";28;"26";57,3181044918317
"312";"LO3";"date 2";"7A";45;"26";56,8877787981042
"313";"LO3";"date 3";"7B";45;"40";NA
"314";"LO3";"date 3";"6B";35;"40";57,3821888426718
"315";"LO3";"date 3";"5A";28;"40";57,8219837450825
"316";"LO3";"date 3";"8B";56;"40";52,3796743895594
"317";"LO3";"date 3";"3";14;"40";57,9331509635726
"318";"LO3";"date 3";"6A";35;"40";53,2789557657134
"319";"LO3";"date 3";"8A";56;"40";47,1665302925663
"320";"LO3";"date 3";"2";4;"40";65,7369814253676
"321";"LO3";"date 3";"1";0;"40";65,2398569668804
"322";"LO3";"date 3";"4";21;"40";56,3634516637489
"323";"LO3";"date 3";"5B";28;"40";53,1420710181007
"324";"LO3";"date 3";"7A";45;"40";51,0081211043794
